Book_Name,Book_Price,Book_Author,Book_Rating,Book_release_date,Book_Image
"Dr Cuterus: Everything Nobody Tells You: Everything Nobody Tells You About Your Body [Paperback] Narendra, Dr Tanaya",192,Dr Tanaya Narendra,512,12-Dec-22,https://m.media-amazon.com/images/I/81RMLBE+sHL._AC_UY218_.jpg
"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Exam Archive & MCQs | Based on NMC NEET Rationalised Syllabus, NEET Books (Latest & Revised Edition 2024-2025",182,MTG Editorial Board,6,19-Oct-23,https://m.media-amazon.com/images/I/81nkH5ZjqZL._AC_UY218_.jpg
Relativity: The Special And The General Theory by Albert Einstein - Theory of Relativity | Physics and Astrophysics | Space and Time | General Relativity | Scientific Explanation | Albert Einstein Books,0,Albert Einstein,"4,583",15-Jun-17,https://m.media-amazon.com/images/I/712UNxm026L._AC_UY218_.jpg
"Black Holes (L) : The Reith Lectures [Paperback] Hawking, Stephen",697,Stephen Hawking,"7,573",11-Jul-16,https://m.media-amazon.com/images/I/91elhBJsITL._AC_UY218_.jpg
"MTG Objective NCERT at your FINGERTIPS Chemistry - NCERT Notes with HD Pages, Exam Archive & MCQs | Based on NMC NEET Rationalised Syllabus, NEET-JEE Books (Latest & Revised Edition 2024-2025)",149,MTG Editorial Board,12,19-Oct-23,https://m.media-amazon.com/images/I/81s-tTkv2RL._AC_UY218_.jpg
"MTG Objective NCERT at your FINGERTIPS For NEET - Physics, Chemistry, Biology (Set of 3 Books) | NCERT NEET Trend Indicator | NEET Books (Based on NMC NEET Rationalised Syllabus - Latest & Revised Edition 2024-2025)",141,MTG Editorial Board,4,24-Oct-23,https://m.media-amazon.com/images/I/813Pu3BgRaL._AC_UY218_.jpg
"Brief History Of Time, A (L)",120,Stephen Hawking,"14,275",01-Jan-15,https://m.media-amazon.com/images/I/81DBK93b6jL._AC_UY218_.jpg
COSMOS,97,Audio CD,"4,626",11-Aug-83,https://m.media-amazon.com/images/I/51BDn6p4A7L._AC_UY218_.jpg
Problems In General Physics,77,Carl Sagan,217,27-Apr-23,https://m.media-amazon.com/images/I/51L5I0zZLbL._AC_UY218_.jpg
The Coming Wave,499,MP3 CD,784,07-Sep-23,https://m.media-amazon.com/images/I/81-JI9aaRgL._AC_UY218_.jpg
A Competitive Book of Agriculture new raj sunda with colour page 12th jan 2023 edition [Perfect Paperback] Nem Raj Sunda,"1,525",Mustafa Suleyman,132,22-Apr-23,https://m.media-amazon.com/images/I/6113KEMbNkL._AC_UY218_.jpg
"Behave: The Biology of Humans at Our Best and Worst [Paperback] Sapolsky, Robert M",297,Michael Bhaskar,"7,386",05-Apr-18,https://m.media-amazon.com/images/I/81QjFXzNjqL._AC_UY218_.jpg
"Vedic Mathematics Made Easy, 2nd Edition",213,Hardcover,"2,007",04-Jan-21,https://m.media-amazon.com/images/I/718Z9JUWUjL._AC_UY218_.jpg
"CSIR NET Life Science Previous Year Questions Papers with Answers and Detailed Solutions from 2001- 2023 - Best Book for CSIR UGC NET, GATE, DBT, ICMR, ICAR Bioscience Examinations in India",0,Nem Raj Sunda,194,26-Jun-23,https://m.media-amazon.com/images/I/61cAR8I6lqL._AC_UY218_.jpg
MTG 46 + 22 Years JEE Main and IIT JEE Advanced Previous Years Solved Question Papers with Chapterwise Topicwise Solutions Mathematics Book - JEE PYQ ... For 2024 Exam [Paperback] MTG Editorial Board MTG Editorial Board,284,Robert M Sapolsky,40,26-Jun-23,https://m.media-amazon.com/images/I/81T6FvDkw+L._AC_UY218_.jpg
MTG 46 + 22 Years JEE Main and IIT JEE Advanced Previous Years Solved Question Papers with Chapterwise Topicwise Solutions Physics Book – JEE PYQ ... For 2024 Exam [Paperback] MTG Editorial Board MTG Editorial Board,0,Hardcover,37,26-Jun-23,https://m.media-amazon.com/images/I/811l5Mv2KAL._AC_UY218_.jpg
MTG 46 + 22 Years JEE Main and IIT JEE Advanced Previous Years Solved Question Papers with Chapterwise Topicwise Solutions Chemistry Book - JEE PYQ ... For 2024 Exam [Paperback] MTG Editorial Board MTG Editorial Board,"5,700",Board book,36,19-Sep-16,https://m.media-amazon.com/images/I/81yn3Ov9LsL._AC_UY218_.jpg
"Short History Of Nearly Everything, A (Bryson) [Paperback] Bryson, Bill",126,Dhaval Bathia,"15,891",27-Apr-23,https://m.media-amazon.com/images/I/81IFXnlXNKL._AC_UY218_.jpg
Skills in Mathematics - Play with Graphs for JEE Main and Advanced,635,Kailash Choudhary,159,27-Apr-23,https://m.media-amazon.com/images/I/61swna8gGFL._AC_UY218_.jpg
NEET Objective Physics Volume 2,569,Bill Bryson,154,01-Jan-98,https://m.media-amazon.com/images/I/61W5rsaDnEL._AC_UY218_.jpg
"Guns, Germs And Steel: 20th Anniversary Edition [Paperback] Diamond, Jared",0,Hardcover,"11,685",19-Oct-23,https://m.media-amazon.com/images/I/71GGWzLREZL._AC_UY218_.jpg
"MTG Objective NCERT at your FINGERTIPS Physics - NCERT Notes with HD Pages, Exam Archive & MCQs | Based on NMC NEET Rationalised Syllabus, NEET-JEE Books (Latest & Revised Edition 2024-2025)",290,Amit M Agarwal,5,08-Mar-19,https://m.media-amazon.com/images/I/81n4eOWXnbL._AC_UY218_.jpg
Physics Galaxy 2020-21 : Advanced Illustration In Physics,225,Jared Diamond,"1,765",10-Apr-23,https://m.media-amazon.com/images/I/61fpgqQz08L._AC_UY218_.jpg
Understanding Physics JEE Main and Advanced Mechanics Volume 2 2023-24,436,Hardcover,54,27-Apr-23,https://m.media-amazon.com/images/I/61XG9os3pHL._AC_UY218_.jpg
The Elements of COORDINATE GEOMETRY Part-1 Cartesian Coordinates,265,Audio CD,55,04-Sep-14,https://m.media-amazon.com/images/I/51GKjY3jd3L._AC_UY218_.jpg
WHAT IF? (REISSUE),0,"Audio, Cassette","21,210",01-Aug-16,https://m.media-amazon.com/images/I/71kLwTgg3AL._AC_UY218_.jpg
The Interpretation of Dreams,209,MTG Editorial Board,"1,054",19-Nov-92,https://m.media-amazon.com/images/I/71tmqpPsdFL._AC_UY218_.jpg
Surely Youre Joking Mr Feynman,109,Ashish Arora,"11,040",26-Apr-17,https://m.media-amazon.com/images/I/71HmujGEEPL._AC_UY218_.jpg
Algorithms to Live By: The Computer Science of Human Decisions,975,DC Pandey,"5,579",27-Apr-23,https://m.media-amazon.com/images/I/71EvACRh1cL._AC_UY218_.jpg
Skills in Mathematics - Coordinate Geometry for JEE Main and Advanced,597,Randall Munroe,44,27-Apr-23,https://m.media-amazon.com/images/I/51RwpY4aR8L._AC_UY218_.jpg
PLANE TRIGONOMETRY Part-1,599,Board book,106,01-May-13,https://m.media-amazon.com/images/I/510ktnPi0JL._AC_UY218_.jpg
Vedic Mathematics (Indian Classics) - Vedic Maths Activities - Vedic Maths for Children - Maths Activity Book for Kids - Vedic Maths Book,589,Sigmund Freud,291,27-Jun-23,https://m.media-amazon.com/images/I/71LOvxNsNqL._AC_UY218_.jpg
Material World: A Substantial Story of Our Past and Future,437,Hardcover,372,01-Jan-19,https://m.media-amazon.com/images/I/71X+3wBfLgL._AC_UY218_.jpg
NCERT BIOLOGY TEXT BOOK FOR CLASS 11 AND 12 (SET OF 2 BOOKS),340,Mass Market Paperback,79,01-Jan-65,https://m.media-amazon.com/images/I/71AXs41jiML._AC_UY218_.jpg
Higher Engineering Mathematics [Perfect Paperback],0,Audio CD,"2,551",25-Sep-23,https://m.media-amazon.com/images/I/617pWj4VBvL._AC_UY218_.jpg
Masala Lab: The Science of Indian Cooking (Illustrated Editon): Beautiful New Edition of the Bestselling Book on the Science of Indian Cooking,191,Richard P Feynman,11,14-Aug-15,https://m.media-amazon.com/images/I/612bV46q01L._AC_UY218_.jpg
Gut: The Inside Story Of Our BodyS Most Under-Rated Organ,657,Hardcover,"3,171",10-Apr-23,https://m.media-amazon.com/images/I/61xT33NxifL._AC_UY218_.jpg
Understanding Physics JEE Main and Advanced Mechanics Volume 1 2023-24,427,Mass Market Paperback,99,01-Jan-23,https://m.media-amazon.com/images/I/71jWWVqY6JL._AC_UY218_.jpg
Mathematics For Class 10 With MCQ RD SHARMA From New Vimal Books,265,MP3 CD,358,01-Jan-13,https://m.media-amazon.com/images/I/61s51FsHSML._AC_UY218_.jpg
Mechanism in Organic Chemistry for the JEE,0,Brian Christian,672,10-Apr-23,https://m.media-amazon.com/images/I/51wAZSH4emL._AC_UY218_.jpg
Understanding Physics JEE Main and Advanced Waves and Thermodynamics 2023-24,500,Tom Griffiths,24,01-Feb-16,https://m.media-amazon.com/images/I/61GaXBr6ttL._AC_UY218_.jpg
shri swami charitra saramrut,390,Hardcover,199,27-Feb-20,https://m.media-amazon.com/images/I/71oi6lIgbTL._AC_UY218_.jpg
The Art of Statistics: Learning from Data (Pelican Books),421,MP3 CD,"3,454",20-Oct-23,https://m.media-amazon.com/images/I/71HNF5BMTCL._AC_UY218_.jpg
Lucent General Science 2023 English Edition (Latest Updated Syllabus Original Book with Lucent Hologram),159,Ed Conway,3,01-Jan-15,https://m.media-amazon.com/images/I/71oeBufqTNL._AC_UY218_.jpg
Vedic Mathematics: Sixteen Simple Mathematical Formulae From The Vedas,345,Hardcover,"1,344",01-Jan-23,https://m.media-amazon.com/images/I/61ybqHsLOhL._AC_UY218_.jpg
